ADDRESS,YEAR BUILT, SALE PRICE 
95 80TH STREET,1930,"1,900,000"
7905 RIDGE BLVD,1925,"1,300,000"
235 80TH STREET,1996,0
361 80TH STREET,1925,"1,285,000"
7919 5 AVE,1920,"1,525,000"
7913 5TH AVENUE,1920,"1,550,000"
7905 5TH AVENUE,1920,"1,500,000"
556 79TH STREET,1910,"1,370,000"
578 79TH ST,1910,"1,530,000"
634 79TH STREET,1930,"1,650,000"
174 80TH ST,1920,0
178 80TH ST,1920,0
178 80TH STREET,1920,0
368 80TH STREET,1910,"1,610,000"
317 81ST STREET,1910,"1,450,000"
430 80TH STREET,1910,0
8020 5TH AVE,1931,0
425 81ST STREET,1901,0
542 80TH STREET,1920,0
456 81ST STREET,1910,"1,460,000"
451 82ND STREET,1905,"1,630,000"
8119 5TH AVENUE,1931,"1,600,000"
564 81ST STREET,1930,0
568 81ST STREET,1930,0
264 82ND STREET,1935,0
235 83RD STREET,1901,0
305 83RD STREET,1945,"1,400,000"
434 82ND STREET,1920,0
448 82ND STREET,1915,"1,400,000"
450 82ND STREET,1915,"1,430,000"
460 82ND STREET,1910,"1,370,000"
8218 5TH AVENUE,1921,0
457 83RD STREET,1920,"1,075,000"
563 83RD STREET,1920,0
557 83RD STREET,1915,0
140 83RD STREET,1920,0
419 84TH STREET,1915,"1,300,000"
558 83RD STREET,1925,0
373 85TH STREET,1925,0
444 84,1925,10
444 84TH STREET,1925,10
460 84TH STREET,1925,0
8418 5TH AVENUE,1921,"1,870,000"
457 85TH STREET,1925,0
429 85TH STREET,1925,0
687 85TH STREET,1925,0
74 85 STREET,1920,"1,577,000"
352 85TH STREET,1910,0
452 85TH STREET,1925,0
452 85TH STREET,1925,"1,212,500"
168 86TH STREET,1899,"1,850,000"
333 87TH STREET,1901,0
331 87TH STREET,1901,"1,440,000"
55 88TH STREET,1915,"1,700,000"
155 88TH STREET,1930,0
271 88TH STREET,1925,0
8709 3RD AVENUE,1926,0
342 87TH STREET,1930,0
36 GELSTON AVENUE,1925,"1,499,000"
25 GELSTON AVENUE,1925,"1,250,000"
8622 FT HAMILTON PARKWAY,1925,"1,590,000"
8628 FT HAMILTON PARKWAY,1925,0
541 88TH STREET,1925,"1,210,000"
31 BATTERY AVENUE,1925,0
8819 COLONIAL ROAD,1925,"1,815,000"
130 88TH STREET,1901,"1,495,000"
132 88TH STREET,1901,0
220 88TH ST,1905,0
236 88TH STREET,1905,"1,310,000"
254 88TH STREET,1905,"1,220,000"
8810 3 AVENUE,1923,"1,400,000"
227 89TH STREET,1905,"200,000"
